state,year,name,sex,count,rank_within_sex,per_100k_within_sex
AK,2015,Jaxen,M,5,218,150.1
AK,2015,Joel,M,5,218,150.1
AK,2015,Jude,M,5,218,150.1
AK,2015,Kaleb,M,5,218,150.1
AK,2015,Martin,M,5,218,150.1
AK,2015,Moses,M,5,218,150.1
AK,2015,Nikolai,M,5,218,150.1
AK,2015,Paxton,M,5,218,150.1
AK,2015,Raylan,M,5,218,150.1
AK,2015,Shane,M,5,218,150.1
AK,2015,Solomon,M,5,218,150.1
AK,2015,Talon,M,5,218,150.1
AK,2015,Titus,M,5,218,150.1
AK,2015,Torin,M,5,218,150.1
AK,2015,Travis,M,5,218,150.1
AK,2015,Trenton,M,5,218,150.1
AK,2015,Tyson,M,5,218,150.1
AL,2015,Ava,F,297,1,1521.5
AL,2015,William,M,411,1,1786.8
AL,2015,Emma,F,285,2,1460.0
AL,2015,James,M,322,2,1399.9
AL,2015,Olivia,F,258,3,1321.7
AL,2015,John,M,317,3,1378.1
AL,2015,Harper,F,213,4,1091.2
AL,2015,Mason,M,294,4,1278.1
AL,2015,Elizabeth,F,186,5,952.9
AL,2015,Elijah,M,276,5,1199.9
AL,2015,Madison,F,172,6,881.1
AL,2015,Noah,M,248,6,1078.2
AL,2015,Amelia,F,147,7,753.1
AL,2015,Isabella,F,147,7,753.1
AL,2015,Skylar,F,147,7,753.1
AL,2015,Jackson,M,235,7,1021.7
AL,2015,Carter,M,204,8,886.9
AL,2015,Michael,M,196,9,852.1
AL,2015,Anna,F,143,10,732.6
AL,2015,Sophia,F,143,10,732.6
AL,2015,Samuel,M,194,10,843.4
AL,2015,Christopher,M,181,11,786.9
AL,2015,Jacob,M,181,11,786.9
AL,2015,Jaxon,M,181,11,786.9
AL,2015,Ella,F,142,12,727.5
AL,2015,Caroline,F,136,13,696.7
AL,2015,Mia,F,136,13,696.7
AL,2015,Grayson,M,166,14,721.7
AL,2015,Jayden,M,166,14,721.7
AL,2015,Abigail,F,135,15,691.6
AL,2015,Avery,F,133,16,681.4
AL,2015,Brooklyn,F,133,16,681.4
AL,2015,Aiden,M,164,16,713.0
AL,2015,Landon,M,160,17,695.6
AL,2015,Charlotte,F,128,18,655.7
AL,2015,Charles,M,159,18,691.2
AL,2015,Addison,F,127,19,650.6
AL,2015,Gabriel,M,157,19,682.5
AL,2015,Aubrey,F,126,20,645.5
AL,2015,Chloe,F,126,20,645.5
AL,2015,David,M,155,20,673.9
AL,2015,Logan,M,154,21,669.5
AL,2015,Sadie,F,123,22,630.1
AL,2015,Hunter,M,152,22,660.8
AL,2015,Joseph,M,152,22,660.8
AL,2015,Liam,M,152,22,660.8
AL,2015,Zoey,F,119,23,609.6
AL,2015,Mary,F,117,24,599.4
AL,2015,Layla,F,115,25,589.1
AL,2015,Benjamin,M,151,25,656.5
AL,2015,Luke,M,151,25,656.5
AL,2015,Paisley,F,114,26,584.0
AL,2015,Emily,F,110,27,563.5
AL,2015,Joshua,M,149,27,647.8
AL,2015,Lillian,F,109,28,558.4
AL,2015,Ethan,M,146,28,634.7
AL,2015,Khloe,F,106,29,543.0
AL,2015,Jeremiah,M,142,29,617.3
AL,2015,Lily,F,104,30,532.8
AL,2015,Brayden,M,141,30,613.0
AL,2015,Evelyn,F,99,31,507.2
AL,2015,Caleb,M,140,31,608.6
AL,2015,Londyn,F,98,32,502.0
AL,2015,Colton,M,139,32,604.3
AL,2015,Cooper,M,139,32,604.3
AL,2015,Audrey,F,95,33,486.7
AL,2015,Kinsley,F,92,34,471.3
AL,2015,Lucas,M,137,34,595.6
AL,2015,Riley,F,89,35,455.9
AL,2015,Thomas,M,136,35,591.3
AL,2015,Hannah,F,88,36,450.8
AL,2015,Nevaeh,F,88,36,450.8
AL,2015,Wyatt,M,134,36,582.6
AL,2015,Levi,M,132,37,573.9
AL,2015,Scarlett,F,87,38,445.7
AL,2015,Matthew,M,131,38,569.5
AL,2015,Aubree,F,85,39,435.5
AL,2015,Sawyer,M,127,39,552.1
AL,2015,Kylie,F,81,40,415.0
AL,2015,Savannah,F,81,40,415.0
AL,2015,Robert,M,126,40,547.8
AL,2015,Carson,M,124,41,539.1
AL,2015,Christian,M,124,41,539.1
AL,2015,Taylor,F,80,42,409.8
AL,2015,Lauren,F,79,43,404.7
AL,2015,Sarah,F,79,43,404.7
AL,2015,Brantley,M,121,43,526.0
AL,2015,Hudson,M,121,43,526.0
AL,2015,Oliver,M,121,43,526.0
AL,2015,Kaylee,F,78,45,399.6
AL,2015,Serenity,F,78,45,399.6
AL,2015,Henry,M,120,46,521.7
AL,2015,Madelyn,F,77,47,394.5
AL,2015,Andrew,M,119,47,517.3
AL,2015,Kennedy,F,76,48,389.3
AL,2015,Cameron,M,115,48,500.0
AL,2015,Aaliyah,F,75,49,384.2
AL,2015,Natalie,F,75,49,384.2
AL,2015,Alexander,M,112,49,486.9
AL,2015,Easton,M,112,49,486.9
AL,2015,Lucy,F,72,51,368.9
AL,2015,Daniel,M,110,51,478.2
AL,2015,Autumn,F,71,52,363.7
AL,2015,Bentley,M,108,52,469.5
AL,2015,Kingston,M,108,52,469.5
AL,2015,Hadley,F,70,53,358.6
AL,2015,Trinity,F,69,54,353.5
AL,2015,Connor,M,106,54,460.8
AL,2015,London,F,68,55,348.4
AL,2015,Zoe,F,68,55,348.4
AL,2015,Braxton,M,103,55,447.8
AL,2015,Isaac,M,103,55,447.8
AL,2015,Victoria,F,67,57,343.2
AL,2015,Eli,M,102,57,443.4
AL,2015,Allison,F,66,58,338.1
AL,2015,Piper,F,66,58,338.1
AL,2015,Anthony,M,96,58,417.4
AL,2015,Dylan,M,96,58,417.4
AL,2015,Kayden,M,96,58,417.4
AL,2015,Aria,F,64,60,327.9
AL,2015,Bailey,F,64,60,327.9
AL,2015,Mckenzie,F,64,60,327.9
AL,2015,Jonathan,M,95,61,413.0
AL,2015,Jack,M,94,62,408.7
AL,2015,Lydia,F,63,63,322.7
AL,2015,Nora,F,63,63,322.7
AL,2015,Austin,M,93,63,404.3
AL,2015,Bryson,M,93,63,404.3
AL,2015,Rylee,F,62,65,317.6
AL,2015,Stella,F,62,65,317.6
AL,2015,Jace,M,92,65,400.0
AL,2015,Karter,M,92,65,400.0
AL,2015,Owen,M,92,65,400.0
AL,2015,Morgan,F,61,67,312.5
AL,2015,Ellie,F,60,68,307.4
AL,2015,Peyton,F,60,68,307.4
AL,2015,Jordan,M,91,68,395.6
AL,2015,Josiah,M,91,68,395.6
AL,2015,Jordyn,F,59,70,302.3
AL,2015,Asher,M,90,70,391.3
AL,2015,Bella,F,58,71,297.1
AL,2015,Mariah,F,58,71,297.1
AL,2015,Ryleigh,F,58,71,297.1
AL,2015,Ashton,M,88,71,382.6
AL,2015,Isaiah,M,88,71,382.6
AL,2015,Ayden,M,87,73,378.2
AL,2015,Adalyn,F,57,74,292.0
AL,2015,Tyler,M,86,74,373.9
AL,2015,Kyleigh,F,56,75,286.9
AL,2015,Parker,M,85,75,369.5
AL,2015,Willow,F,54,76,276.6
AL,2015,Chase,M,79,76,343.4
AL,2015,Adalynn,F,53,77,271.5
AL,2015,Katherine,F,53,77,271.5
AL,2015,Jaxson,M,78,77,339.1
AL,2015,Nathan,M,77,78,334.8
AL,2015,Alyssa,F,52,79,266.4
AL,2015,Blakely,F,52,79,266.4
AL,2015,Eleanor,F,52,79,266.4
AL,2015,Harmony,F,52,79,266.4
AL,2015,Aaron,M,76,79,330.4
AL,2015,Kaiden,M,76,79,330.4
AL,2015,Brandon,M,75,81,326.1
AL,2015,Micah,M,75,81,326.1
AL,2015,Ryan,M,75,81,326.1
AL,2015,Kendall,F,51,83,261.3
AL,2015,Mackenzie,F,51,83,261.3
AL,2015,Jase,M,70,84,304.3
AL,2015,Nicholas,M,70,84,304.3
AL,2015,Ariel,F,50,85,256.1
AL,2015,Makenzie,F,50,85,256.1
AL,2015,Naomi,F,50,85,256.1
AL,2015,Raelynn,F,50,85,256.1
AL,2015,Sofia,F,50,85,256.1
AL,2015,Jason,M,69,86,300.0
AL,2015,Malachi,M,67,87,291.3
AL,2015,Tristan,M,67,87,291.3
AL,2015,Evan,M,66,89,286.9
AL,2015,Greyson,M,66,89,286.9
AL,2015,Arianna,F,49,90,251.0
AL,2015,Eva,F,49,90,251.0
AL,2015,Penelope,F,49,90,251.0
AL,2015,Hayden,M,65,91,282.6
AL,2015,Justin,M,64,92,278.2
AL,2015,Alice,F,48,93,245.9
AL,2015,Ariana,F,48,93,245.9
AL,2015,Gabriella,F,48,93,245.9
AL,2015,Leah,F,48,93,245.9
AL,2015,Margaret,F,48,93,245.9
AL,2015,Camden,M,62,93,269.5
AL,2015,Harrison,M,62,93,269.5
AL,2015,Nolan,M,62,93,269.5
AL,2015,Amari,M,61,96,265.2
AL,2015,Brody,M,60,97,260.8
AL,2015,Kevin,M,60,97,260.8
AL,2015,Timothy,M,60,97,260.8
