state,year,d,r,winner,margin_of_victory
Wyoming,1996,37,50,R,13
Alabama,1992,41,48,R,7
Alaska,1992,30,40,R,10
Arizona,1992,37,39,R,2
Arkansas,1992,53,36,D,17
California,1992,46,33,D,13
Colorado,1992,40,36,D,4
Connecticut,1992,42,36,D,6
D.C.,1992,85,9,D,76
Delaware,1992,44,35,D,9
Florida,1992,39,41,R,2
Georgia,1992,44,43,D,1
Hawaii,1992,48,37,D,11
Idaho,1992,28,42,R,14
Illinois,1992,49,34,D,15
Indiana,1992,37,43,R,6
Iowa,1992,43,37,D,6
Kansas,1992,34,39,R,5
Kentucky,1992,45,41,D,4
Louisiana,1992,46,41,D,5
Maine,1992,39,30,D,9
Maryland,1992,50,36,D,14
Massachusetts,1992,48,29,D,19
Michigan,1992,44,36,D,8
Minnesota,1992,44,32,D,12
Mississippi,1992,41,50,R,9
Missouri,1992,44,34,D,10
Montana,1992,38,35,D,3
Nebraska,1992,29,47,R,18
Nevada,1992,37,35,D,2
New Hampshire,1992,39,38,D,1
New Jersey,1992,43,41,D,2
New Mexico,1992,46,37,D,9
New York,1992,47,29,D,18
North Carolina,1992,42,43,R,1
North Dakota,1992,32,44,R,12
Ohio,1992,40,38,D,2
Oklahoma,1992,34,43,R,9
Oregon,1992,43,33,D,10
Pennsylvania,1992,45,36,D,9
Rhode Island,1992,47,29,D,18
South Carolina,1992,43,47,R,4
South Dakota,1992,37,41,R,4
Tennessee,1992,47,42,D,5
Texas,1992,37,41,R,4
Utah,1992,25,43,R,18
Vermont,1992,46,30,D,16
Virginia,1992,41,45,R,4
Washington,1992,43,32,D,11
West Virginia,1992,48,35,D,13
Wisconsin,1992,41,37,D,4
Wyoming,1992,34,40,R,6
Alabama,1988,40,59,R,19
Alaska,1988,36,60,R,24
Arizona,1988,39,60,R,21
Arkansas,1988,42,56,R,14
California,1988,48,51,R,3
Colorado,1988,45,53,R,8
Connecticut,1988,47,52,R,5
D.C.,1988,83,14,D,69
Delaware,1988,44,56,R,12
Florida,1988,39,61,R,22
Georgia,1988,40,60,R,20
Hawaii,1988,54,45,D,9
Idaho,1988,36,62,R,26
Illinois,1988,49,51,R,2
Indiana,1988,40,60,R,20
Iowa,1988,55,45,D,10
Kansas,1988,43,56,R,13
Kentucky,1988,44,56,R,12
Louisiana,1988,44,54,R,10
Maine,1988,44,55,R,11
Maryland,1988,48,51,R,3
Massachusetts,1988,53,45,D,8
Michigan,1988,46,54,R,8
Minnesota,1988,53,46,D,7
Mississippi,1988,39,60,R,21
Missouri,1988,48,52,R,4
Montana,1988,46,52,R,6
Nebraska,1988,39,60,R,21
Nevada,1988,38,59,R,21
New Hampshire,1988,36,62,R,26
New Jersey,1988,43,56,R,13
New Mexico,1988,47,52,R,5
New York,1988,52,48,D,4
North Carolina,1988,42,58,R,16
North Dakota,1988,43,56,R,13
Ohio,1988,44,55,R,11
Oklahoma,1988,41,58,R,17
Oregon,1988,51,47,D,4
Pennsylvania,1988,48,51,R,3
Rhode Island,1988,56,44,D,12
South Carolina,1988,38,62,R,24
South Dakota,1988,47,53,R,6
Tennessee,1988,42,58,R,16
Texas,1988,43,56,R,13
Utah,1988,32,66,R,34
Vermont,1988,48,51,R,3
Virginia,1988,39,60,R,21
Washington,1988,50,49,D,1
West Virginia,1988,52,48,D,4
Wisconsin,1988,51,48,D,3
Wyoming,1988,38,61,R,23
Alabama,1984,38,61,R,23
Alaska,1984,30,67,R,37
Arizona,1984,33,66,R,33
Arkansas,1984,38,61,R,23
California,1984,41,58,R,17
Colorado,1984,35,63,R,28
Connecticut,1984,39,61,R,22
D.C.,1984,85,14,D,71
Delaware,1984,40,60,R,20
Florida,1984,35,65,R,30
Georgia,1984,40,60,R,20
Hawaii,1984,44,55,R,11
Idaho,1984,26,72,R,46
Illinois,1984,43,56,R,13
Indiana,1984,38,62,R,24
Iowa,1984,46,53,R,7
Kansas,1984,33,66,R,33
Kentucky,1984,39,60,R,21
Louisiana,1984,38,61,R,23
Maine,1984,39,61,R,22
Maryland,1984,47,53,R,6
Massachusetts,1984,48,51,R,3
Michigan,1984,40,59,R,19
Minnesota,1984,50,49,D,1
Mississippi,1984,37,62,R,25
Missouri,1984,40,60,R,20
Montana,1984,38,61,R,23
Nebraska,1984,29,71,R,42
Nevada,1984,32,66,R,34
New Hampshire,1984,31,69,R,38
New Jersey,1984,39,60,R,21
New Mexico,1984,39,60,R,21
New York,1984,46,54,R,8
North Carolina,1984,38,62,R,24
North Dakota,1984,34,65,R,31
Ohio,1984,40,59,R,19
Oklahoma,1984,31,69,R,38
Oregon,1984,44,56,R,12
Pennsylvania,1984,46,53,R,7
Rhode Island,1984,48,52,R,4
South Carolina,1984,36,64,R,28
South Dakota,1984,37,63,R,26
Tennessee,1984,42,58,R,16
Texas,1984,36,64,R,28
Utah,1984,25,75,R,50
Vermont,1984,41,58,R,17
Virginia,1984,37,62,R,25
Washington,1984,43,56,R,13
West Virginia,1984,45,55,R,10
Wisconsin,1984,45,54,R,9
Wyoming,1984,28,71,R,43
Alabama,1980,47,49,R,2
Alaska,1980,26,54,R,28
Arizona,1980,28,61,R,33
Arkansas,1980,47,48,R,1
California,1980,36,53,R,17
Colorado,1980,31,55,R,24
Connecticut,1980,39,48,R,9
D.C.,1980,75,13,D,62
Delaware,1980,45,47,R,2
Florida,1980,39,56,R,17
Georgia,1980,56,41,D,15
Hawaii,1980,45,43,D,2
Idaho,1980,25,67,R,42
Illinois,1980,42,50,R,8
Indiana,1980,38,56,R,18
Iowa,1980,39,51,R,12
Kansas,1980,33,58,R,25
Kentucky,1980,48,49,R,1
Louisiana,1980,46,51,R,5
Maine,1980,42,46,R,4
Maryland,1980,47,44,D,3
Massachusetts,1980,41,42,R,1
Michigan,1980,43,49,R,6
Minnesota,1980,47,43,D,4
Mississippi,1980,48,49,R,1
Missouri,1980,44,51,R,7
Montana,1980,32,57,R,25
Nebraska,1980,26,66,R,40
Nevada,1980,27,63,R,36
New Hampshire,1980,28,58,R,30
New Jersey,1980,39,52,R,13
New Mexico,1980,37,55,R,18
New York,1980,44,47,R,3
North Carolina,1980,47,49,R,2
North Dakota,1980,26,64,R,38
Ohio,1980,41,52,R,11
Oklahoma,1980,35,61,R,26
Oregon,1980,39,48,R,9
Pennsylvania,1980,43,50,R,7
Rhode Island,1980,48,37,D,11
South Carolina,1980,48,49,R,1
South Dakota,1980,32,61,R,29
Tennessee,1980,48,49,R,1
Texas,1980,41,55,R,14
Utah,1980,21,73,R,52
Vermont,1980,38,44,R,6
Virginia,1980,40,53,R,13
Washington,1980,37,50,R,13
West Virginia,1980,50,45,D,5
Wisconsin,1980,43,48,R,5
Wyoming,1980,28,63,R,35
Alabama,1976,56,43,D,13
Alaska,1976,36,58,R,22
Arizona,1976,40,56,R,16
Arkansas,1976,65,35,D,30
California,1976,48,49,R,1
Colorado,1976,43,54,R,11
Connecticut,1976,47,52,R,5
D.C.,1976,82,17,D,65
Delaware,1976,52,47,D,5
Florida,1976,52,47,D,5
Georgia,1976,67,33,D,34
Hawaii,1976,51,48,D,3
Idaho,1976,37,59,R,22
Illinois,1976,48,50,R,2
Indiana,1976,46,53,R,7
Iowa,1976,49,50,R,1
Kansas,1976,45,53,R,8
Kentucky,1976,53,46,D,7
Louisiana,1976,52,46,D,6
Maine,1976,48,49,R,1
Maryland,1976,53,47,D,6
Massachusetts,1976,56,40,D,16
Michigan,1976,46,52,R,6
Minnesota,1976,55,42,D,13
Mississippi,1976,50,48,D,2
Missouri,1976,51,48,D,3
Montana,1976,45,53,R,8
Nebraska,1976,39,59,R,20
Nevada,1976,46,50,R,4
New Hampshire,1976,44,55,R,11
New Jersey,1976,48,50,R,2
