ID,Hashtag
787739394606112768,clintonfoundation
787736027976781826,podestaemails9
787732349026918400,reasontovotefortrump
787731210684379136,podestaemails9
787555691460296704,lastuff
787555650775592960,vidcap
787555650775592960,highlyexcellent
787555650775592960,true
787537101919166464,hillarygropedme
787536366867390464,hillarygropedme
787536146301542400,weloverhehindus
787308159748612097,dtmag
787132247446925312,realtime
787131812434685956,realtime
787131424319025152,realtime
787125973988761604,realtime
787122142622076928,podestaemails
787056804349882369,dtmag
787053593912221696,paris
786686615322238976,foia
786586212987383808,nextfaketrumpvictim
786586212987383808,jebbina
786400233076830208,fyi
786400233076830208,hbo
786353883987648512,podestaemails4
786069845632770052,gocubsgo
786069845632770052,flythew
785996167997829120,berniesanders
785996167997829120,trump
785996167997829120,chs
785996167997829120,chsnews
785745254871801856,kapowww
785745254871801856,wikileaks
785744140940095488,standwithtrump
785744140940095488,oh
785744140940095488,florida
785744140940095488,pa
785743848085397506,caprimary
785743848085397506,mdprimary
785743848085397506,paprimary
785743848085397506,tcot
785692316195430400,clintonfluffer
785692316195430400,billclinton
785691552592957440,maga
785691552592957440,trumptrain
785664932914139136,allhandsondeck
785601679869685765,wikileaks
785596887390838784,debate
785596813206315008,benghazi
785596303795380224,clinton
785575666477441024,blacklivesmatter
785574193379225601,fyi
785574193379225601,simivalley
785574193379225601,cali
785574193379225601,annfans
785533570534125569,trumptape
785518719468318720,fyi
785518719468318720,twoweeksdeadline
785510427207671808,bakersfieldbusinessconference
785505211980800000,debate
785352099156459520,debate
785351894612848640,debate
785350582986866688,debate
785314500849246209,debate
785312974646890496,debate
785312507070078980,debate
785312507070078980,maga
785309047519981568,debate
785298837418029056,clintonisarapist
785298837418029056,debates2016
785296977420361729,podestaemails
785296379996282886,debates
785296254221692928,debate
785296017109372929,debate
785289831232397313,debate
785288130760839168,debate
785276558906826757,facebooklive
785276558906826757,debate
784831087805542400,trumptapes
784771373725999104,evergreen
784766031491313664,tcot
784766031491313664,ccot
784766031491313664,gop
784766031491313664,maga
784764066057162753,pussyriot
784764066057162753,russia
784652372798693377,trumptapes
784647017708433408,hotmic
784563921613156352,trumptape
784562937583247360,wallstreet
784562664332820486,podesta
784537533808009216,makingpssygrabbedagain
784533853004242944,makingpssygrabbedagain
784532357000863745,makingpssygrabbedagain
784463419025928192,diversity
784141080539254784,freericky
784140662924976128,soundcloud
784139983598739456,protip
784139377668526080,hannityradio
784139364875980801,hannityradio
784064888133984256,proudboy
783521721819226112,vpdebate
783521721819226112,debates
783518431010258944,allhandsondeck
783497149241712640,vpdebate
