year,name,geo_id,total_population,white,black,hispanic,asian,american_indian,pacific_islander,other_race,median_age,total_households,owner_occupied_homes_median_value,per_capita_income,median_household_income,below_poverty_line,foreign_born_population,state,place
2015,"Lubbock city, Texas",16000US4845000,249051,128130,17264,90706,6352,825,40,218,29.2,91196,126900,45551,45551,53360,14226,48,45000
2015,"McAllen city, Texas",16000US4845384,140253,,,113829,,,,,32.3,43578,118700,45186,45186,33061,37691,48,45384
2015,"McKinney city, Texas",16000US4845744,162887,99666,15627,31705,11700,796,87,683,35.6,55575,254000,83317,83317,8832,25760,48,45744
2015,"Mesquite city, Texas",16000US4847892,145124,46953,34734,56753,3654,835,0,97,34.6,48835,118200,47518,47518,23221,26755,48,47892
2015,"Midland city, Texas",16000US4848072,132950,61076,8914,58677,2455,211,58,7,32.1,47237,199500,80700,80700,9290,17061,48,48072
2015,"Mission city, Texas",16000US4848768,83307,,,73367,,,,,32.9,23669,100800,47205,47205,19248,22608,48,48768
2015,"Missouri City city, Texas",16000US4848804,71778,,,10007,,,,,37.2,,178400,92696,92696,3004,18556,48,48804
2015,"New Braunfels city, Texas",16000US4850820,69923,,,22522,,,,,37,24211,184200,61330,61330,6680,5405,48,50820
2015,"North Richland Hills city, Texas",16000US4852356,69205,,,10195,,,,,39.9,26068,163300,61498,61498,6070,7854,48,52356
2015,"Odessa city, Texas",16000US4853388,118980,,,63586,,,,,31.2,40198,138500,66585,66585,12662,15845,48,53388
2015,"Pasadena city, Texas",16000US4856000,153786,39779,5034,105871,1512,614,54,0,31.5,51820,111200,50236,50236,24382,38072,48,56000
2015,"Pearland city, Texas",16000US4856348,111665,,,26460,,,,,33.9,37073,207800,97209,97209,2988,16882,48,56348
2015,"Pharr city, Texas",16000US4857200,76535,,,72995,,,,,26.9,20839,66800,33269,33269,23860,25532,48,57200
2015,"Plano city, Texas",16000US4858016,283619,153476,21613,42959,57170,1551,407,561,38.1,106610,261800,83769,83769,24459,74030,48,58016
2015,"Richardson city, Texas",16000US4861796,110827,,,15762,,,,,35.5,38816,226000,80398,80398,10430,29579,48,61796
2015,"Round Rock city, Texas",16000US4863500,115839,56028,10493,37151,8225,293,0,338,34.9,36819,205100,75974,75974,9842,18237,48,63500
2015,"San Angelo city, Texas",16000US4864472,100413,50366,4867,42494,1510,235,242,358,32.8,37817,124700,46353,46353,16517,7859,48,64472
2015,"San Antonio city, Texas",16000US4865000,1469824,364707,98876,937607,41988,1986,1408,1957,33.1,494344,126600,48869,48869,257770,208046,48,65000
2015,"Sugar Land city, Texas",16000US4870808,88129,,,7835,,,,,42.1,29712,288700,111124,111124,3974,31169,48,70808
2015,"Temple city, Texas",16000US4872176,72297,34099,13291,21372,1164,55,0,0,33.6,27319,133900,44749,44749,17437,3968,48,72176
2015,"The Woodlands CDP, Texas",16000US4872656,119144,,,19574,,,,,38.8,40446,347100,111327,111327,6169,21188,48,72656
2015,"Tyler city, Texas",16000US4874144,103705,53589,24848,21536,2175,525,5,174,33.9,38326,151300,43222,43222,21303,8225,48,74144
2015,"Victoria city, Texas",16000US4875428,67581,,,34409,,,,,35.8,24575,131600,53779,53779,9039,4480,48,75428
2015,"Waco city, Texas",16000US4876000,132342,58758,27652,40585,3349,156,0,36,29.3,48448,114100,36792,36792,33121,14235,48,76000
2015,"Wichita Falls city, Texas",16000US4879000,104709,63129,11956,23061,3263,740,0,133,34,37173,102700,44448,44448,18579,9855,48,79000
2015,"Layton city, Utah",16000US4943660,74142,,,10123,,,,,29.5,22883,220000,73242,73242,7150,4268,49,43660
2015,"Ogden city, Utah",16000US4955980,85450,52867,1081,28275,1230,254,111,0,31.3,30954,134900,42460,42460,18458,12791,49,55980
2015,"Orem city, Utah",16000US4957300,94457,,,18342,,,,,26.1,27922,229000,55581,55581,13983,12808,49,57300
2015,"Provo city, Utah",16000US4962470,115258,90262,410,16668,1837,535,1166,207,23.6,31821,227600,46388,46388,27812,10925,49,62470
2015,"St. George city, Utah",16000US4965330,80207,,,10829,,,,,37.3,28196,229400,55094,55094,12002,4824,49,65330
2015,"Salt Lake City city, Utah",16000US4967000,192660,129452,4263,40559,10284,969,2708,137,32.1,79031,262400,48761,48761,36098,32166,49,67000
2015,"Sandy city, Utah",16000US4967440,93612,,,6832,,,,,34.6,28926,315800,81581,81581,6071,6691,49,67440
2015,"South Jordan city, Utah",16000US4970850,66639,,,4672,,,,,33.8,,354000,99681,99681,,6142,49,70850
