year,name,geo_id,total_population,white,black,hispanic,asian,american_indian,pacific_islander,other_race,median_age,total_households,owner_occupied_homes_median_value,per_capita_income,median_household_income,below_poverty_line,foreign_born_population,state,congressional_district
2015,"Congressional District 12 (114th Congress), Ohio",50000US3912,765297,660212,35607,16335,27689,1263,76,2981,37.8,288067,193200,69056,69056,71924,36646,39,12
2015,"Congressional District 13 (114th Congress), Ohio",50000US3913,709977,577060,80048,23303,11694,1036,32,130,40.5,298474,98100,42019,42019,124170,25593,39,13
2015,"Congressional District 14 (114th Congress), Ohio",50000US3914,716084,640316,30844,18315,14338,512,141,394,44.3,283208,173700,64775,64775,56855,38764,39,14
2015,"Congressional District 15 (114th Congress), Ohio",50000US3915,747491,662985,29820,14839,22605,352,302,1051,37.9,282495,161300,60009,60009,83186,36440,39,15
2015,"Congressional District 16 (114th Congress), Ohio",50000US3916,705118,647528,15433,14734,15752,857,299,70,43.6,283260,161000,61330,61330,50719,37993,39,16
2015,"Congressional District 1 (114th Congress), Oklahoma",50000US4001,792694,515404,68614,86140,20636,40495,214,1821,36.1,312581,147700,52054,52054,119789,60901,40,01
2015,"Congressional District 2 (114th Congress), Oklahoma",50000US4002,750930,483538,26084,38464,3771,120126,1527,415,39.8,279501,99500,41197,41197,144099,15845,40,02
2015,"Congressional District 3 (114th Congress), Oklahoma",50000US4003,779713,578584,29051,76060,10692,43984,394,255,36.4,279580,114000,48571,48571,118964,38185,40,03
2015,"Congressional District 4 (114th Congress), Oklahoma",50000US4004,778004,553761,49479,65597,17884,34563,607,1420,35.5,284909,133500,51990,51990,94457,34497,40,04
2015,"Congressional District 5 (114th Congress), Oklahoma",50000US4005,809997,466224,107598,130203,24945,33874,543,1214,34.6,309380,139000,48426,48426,133519,85922,40,05
2015,"Congressional District 1 (114th Congress), Oregon",50000US4101,820305,588677,13342,118601,61327,3511,2122,849,37.5,308174,308300,66349,66349,88931,115591,41,01
2015,"Congressional District 2 (114th Congress), Oregon",50000US4102,798161,640761,4917,107806,7363,14317,1233,249,42.1,311030,217700,46793,46793,142645,46840,41,02
2015,"Congressional District 3 (114th Congress), Oregon",50000US4103,815909,582270,41007,91621,56673,4755,4377,1539,37.3,314464,313400,58809,58809,124548,108614,41,03
2015,"Congressional District 4 (114th Congress), Oregon",50000US4104,781166,656161,6566,60526,17041,8391,1251,453,41.1,317272,219800,44747,44747,145509,45917,41,04
2015,"Congressional District 5 (114th Congress), Oregon",50000US4105,813436,614742,7596,133344,20141,7019,4376,0,38.9,302265,259700,58466,58466,105396,80331,41,05
2015,"Congressional District 1 (114th Congress), Pennsylvania",50000US4201,720611,284391,241691,123932,53913,409,0,1371,33.8,262548,140300,45968,45968,161897,90144,42,01
2015,"Congressional District 2 (114th Congress), Pennsylvania",50000US4202,725418,212834,408870,44778,36276,2137,633,3666,34.3,280331,153700,40244,40244,192336,60236,42,02
2015,"Congressional District 3 (114th Congress), Pennsylvania",50000US4203,701892,632688,29093,16077,6360,702,125,977,42.8,280874,126700,50231,50231,100488,16109,42,03
2015,"Congressional District 4 (114th Congress), Pennsylvania",50000US4204,724891,585681,52248,52245,18377,792,102,919,41,276101,173500,58510,58510,72004,37023,42,04
2015,"Congressional District 5 (114th Congress), Pennsylvania",50000US4205,699108,644589,17273,13129,12747,635,393,799,40.7,270136,117200,48610,48610,94530,23357,42,05
2015,"Congressional District 6 (114th Congress), Pennsylvania",50000US4206,720652,597631,31484,43307,37096,263,304,1045,41.7,272195,253900,80129,80129,47218,53910,42,06
2015,"Congressional District 7 (114th Congress), Pennsylvania",50000US4207,709623,595681,36151,27813,36264,525,0,579,42.8,257416,292700,84406,84406,39835,58641,42,07
2015,"Congressional District 8 (114th Congress), Pennsylvania",50000US4208,707083,599805,26748,35083,33585,1065,0,894,43.7,265273,315600,80032,80032,41579,63008,42,08
2015,"Congressional District 9 (114th Congress), Pennsylvania",50000US4209,696545,645535,19160,15368,4323,249,0,511,43.4,278585,121200,47413,47413,100173,11484,42,09
2015,"Congressional District 10 (114th Congress), Pennsylvania",50000US4210,705602,634314,25417,28044,6579,1159,107,937,43.7,268635,160600,53520,53520,85608,23099,42,10
2015,"Congressional District 11 (114th Congress), Pennsylvania",50000US4211,704916,603503,36092,43404,9162,629,0,432,42.3,282386,154000,52367,52367,79749,31850,42,11
2015,"Congressional District 12 (114th Congress), Pennsylvania",50000US4212,700339,643708,21128,11638,11856,379,145,420,45.1,287314,148400,57186,57186,69916,19940,42,12
2015,"Congressional District 13 (114th Congress), Pennsylvania",50000US4213,729101,423026,134441,84031,67232,682,87,3933,37.3,267087,223200,57367,57367,103929,129142,42,13
2015,"Congressional District 14 (114th Congress), Pennsylvania",50000US4214,699463,488320,145911,15075,23593,550,221,1719,38.6,313503,96800,43763,43763,121242,40003,42,14
2015,"Congressional District 15 (114th Congress), Pennsylvania",50000US4215,728044,549343,29224,114311,20353,879,0,530,40.3,273750,197000,58867,58867,75976,57942,42,15
2015,"Congressional District 16 (114th Congress), Pennsylvania",50000US4216,732595,528601,41854,134138,12600,633,45,816,37,264427,191300,55802,55802,96191,53490,42,16
2015,"Congressional District 17 (114th Congress), Pennsylvania",50000US4217,686892,563916,37671,58154,12971,149,90,1317,43,264661,136800,50329,50329,87630,40193,42,17
2015,"Congressional District 18 (114th Congress), Pennsylvania",50000US4218,709728,657078,14645,9682,13705,477,151,343,44.1,290815,165400,62254,62254,59694,27588,42,18
2015,"Congressional District 1 (114th Congress), Rhode Island",50000US4401,532557,364692,39467,86661,19040,1426,77,5817,38.8,206409,240900,51966,51966,80853,89262,44,01
2015,"Congressional District 2 (114th Congress), Rhode Island",50000US4402,523741,410471,17897,65424,16080,1916,134,862,40.8,201075,241100,64118,64118,60182,53062,44,02
2015,"Congressional District 1 (114th Congress), South Carolina",50000US4501,751679,528361,146612,46433,13670,1866,794,587,38.3,283863,236500,61907,61907,81992,45092,45,01
2015,"Congressional District 2 (114th Congress), South Carolina",50000US4502,701799,469898,163519,37713,13500,1018,642,629,38.4,263691,153500,56454,56454,94476,31508,45,02
2015,"Congressional District 3 (114th Congress), South Carolina",50000US4503,680819,504342,121265,35355,4109,1368,2,632,41.1,257805,130400,43034,43034,118769,22620,45,03
2015,"Congressional District 4 (114th Congress), South Carolina",50000US4504,709631,485946,134743,54758,17956,1082,951,615,37.7,270447,150000,50015,50015,98102,60004,45,04
2015,"Congressional District 5 (114th Congress), South Carolina",50000US4505,693302,452753,194390,25490,7931,2156,72,821,39.8,264794,135300,45802,45802,111068,22013,45,05
2015,"Congressional District 6 (114th Congress), South Carolina",50000US4506,661521,228415,378247,32843,6618,1043,263,847,35.4,240849,105200,34566,34566,156066,22716,45,06
2015,"Congressional District 7 (114th Congress), South Carolina",50000US4507,697395,450092,193211,29963,6431,3657,385,2062,42.3,276319,136100,41473,41473,130242,28796,45,07
2015,"Congressional District (at Large) (114th Congress), South Dakota",50000US4600,858469,710681,12807,30079,11901,68201,712,1723,36.9,339437,152800,53017,53017,114071,27845,46,00
2015,"Congressional District 1 (114th Congress), Tennessee",50000US4701,712033,651895,17597,24947,4219,2392,169,332,43.2,288863,132000,39081,39081,131414,18125,47,01
2015,"Congressional District 2 (114th Congress), Tennessee",50000US4702,732112,630794,43888,28308,10732,1433,736,476,39.9,290345,164600,49841,49841,108484,31249,47,02
2015,"Congressional District 3 (114th Congress), Tennessee",50000US4703,726420,596113,77228,27794,8544,2953,65,651,41.7,280143,141600,43526,43526,132806,24763,47,03
2015,"Congressional District 4 (114th Congress), Tennessee",50000US4704,755381,609692,65499,44946,12421,1204,86,1325,37.7,279183,147900,49312,49312,112279,36787,47,04
2015,"Congressional District 5 (114th Congress), Tennessee",50000US4705,759800,456928,184916,69661,21779,2859,0,3880,34.9,304071,181700,51554,51554,124598,91342,47,05
2015,"Congressional District 6 (114th Congress), Tennessee",50000US4706,745077,659513,32205,30800,6263,2410,280,985,40.9,283217,160900,47227,47227,100074,28178,47,06
2015,"Congressional District 7 (114th Congress), Tennessee",50000US4707,753850,607114,77069,36649,15147,1869,748,910,37.4,274422,161300,53238,53238,100211,31063,47,07
2015,"Congressional District 8 (114th Congress), Tennessee",50000US4708,709747,515924,145420,19484,13963,2071,159,1465,40.2,263221,153400,55100,55100,97694,24361,47,08
2015,"Congressional District 9 (114th Congress), Tennessee",50000US4709,705879,171834,457046,50871,13307,412,492,1845,33.9,266795,95900,37388,37388,170340,45702,47,09
2015,"Congressional District 1 (114th Congress), Texas",50000US4801,715761,447146,127222,122556,7535,1474,5,541,37.3,252252,121700,46537,46537,125417,48597,48,01
2015,"Congressional District 2 (114th Congress), Texas",50000US4802,753863,362504,87343,227130,59917,1248,136,2391,35.6,278068,190200,74246,74246,76679,158853,48,02
2015,"Congressional District 3 (114th Congress), Texas",50000US4803,819626,479132,70809,124647,121473,3694,666,1549,36.7,292431,271100,86565,86565,53052,175863,48,03
2015,"Congressional District 4 (114th Congress), Texas",50000US4804,725212,521237,76121,97896,6513,5803,94,1149,39.1,259288,121200,47850,47850,111259,44070,48,04
2015,"Congressional District 5 (114th Congress), Texas",50000US4805,743878,396471,113172,206009,15108,1934,308,262,36,251986,120500,46900,46900,126268,113948,48,05
2015,"Congressional District 6 (114th Congress), Texas",50000US4806,742999,373309,150897,164637,35744,1965,1296,1595,34.9,255499,152300,62290,62290,83408,94591,48,06
2015,"Congressional District 7 (114th Congress), Texas",50000US4807,777640,347259,92799,242199,79749,243,117,2098,34.7,300026,236800,71337,71337,93348,236351,48,07
2015,"Congressional District 8 (114th Congress), Texas",50000US4808,802187,520477,62843,173045,23233,4217,100,332,36.7,270735,177100,64196,64196,87053,94899,48,08
