Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational Option Type","NSLP Provision Status","Charter School (Y/N)","Charter School Number","Charter Funding Type",IRC,Low Grade,High Grade,"Enrollment (K-12)","Free Meal Count (K-12)","Percent (%) Eligible Free (K-12)","FRPM Count (K-12)","Percent (%) Eligible FRPM (K-12)","Enrollment (Ages 5-17)","Free Meal Count (Ages 5-17)","Percent (%) Eligible Free (Ages 5-17)","FRPM Count (Ages 5-17)","Percent (%) Eligible FRPM (Ages 5-17)","2013-14 CALPADS Fall 1 Certification Status"
2014-2015,01,61176,6090526,Alameda,Fremont Unified,Joshua Chadbourne Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,833.0,35.0,0.04201680672268908,44.0,0.05282112845138055,833.0,35.0,0.04201680672268908,44.0,0.05282112845138055,Y
2014-2015,01,61176,6090534,Alameda,Fremont Unified,Mission San Jose Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,624.0,12.0,0.019230769230769232,13.0,0.020833333333333332,611.0,10.0,0.016366612111292964,11.0,0.01800327332242226,Y
2014-2015,01,61176,6090542,Alameda,Fremont Unified,Oliveira Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,695.0,102.0,0.14676258992805755,131.0,0.1884892086330935,695.0,102.0,0.14676258992805755,131.0,0.1884892086330935,Y
2014-2015,01,61176,6090559,Alameda,Fremont Unified,Steven Millard Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,600.0,109.0,0.18166666666666667,138.0,0.23,595.0,109.0,0.18319327731092436,138.0,0.2319327731092437,Y
2014-2015,01,61176,6104723,Alameda,Fremont Unified,Ardenwood Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,965.0,54.0,0.05595854922279793,71.0,0.07357512953367876,948.0,54.0,0.056962025316455694,71.0,0.07489451476793249,Y
2014-2015,01,61176,6106983,Alameda,Fremont Unified,Fred E. Weibel Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,853.0,30.0,0.035169988276670575,36.0,0.04220398593200469,821.0,29.0,0.03532277710109622,35.0,0.04263093788063337,Y
2014-2015,01,61176,6111330,Alameda,Fremont Unified,Forest Park Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,1028.0,30.0,0.029182879377431907,40.0,0.038910505836575876,1028.0,30.0,0.029182879377431907,40.0,0.038910505836575876,Y
2014-2015,01,61192,0000001,Alameda,Hayward Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,89.0,25.0,0.2808988764044944,25.0,0.2808988764044944,69.0,25.0,0.36231884057971014,25.0,0.36231884057971014,Y
2014-2015,01,61192,0108670,Alameda,Hayward Unified,Leadership Public Schools - Hayward,Unified School District,High Schools (Public),Traditional,,Y,0684,Directly funded,Y,9,12,507.0,241.0,0.47534516765285995,331.0,0.6528599605522682,492.0,232.0,0.4715447154471545,319.0,0.6483739837398373,Y
2014-2015,01,61192,0111815,Alameda,Hayward Unified,Stonebrae Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,717.0,324.0,0.45188284518828453,376.0,0.5244072524407253,717.0,324.0,0.45188284518828453,376.0,0.5244072524407253,Y
