cds,rtype,sname,dname,cname,enroll12,NumTstTakr,AvgScrRead,AvgScrMath,AvgScrWrite,NumGE1500,PctGE1500
06616140635250,S,Pierce High,Pierce Joint Unified,Colusa,78,27,458,443,432,8,29.63
06616220000000,D,,Williams Unified,Colusa,101,26,467,448,474,6,23.08
06616220637504,S,Williams Junior/Senior High,Williams Unified,Colusa,86,26,467,448,474,6,23.08
07000000000000,C,,,Contra Costa,13673,7027,510,518,508,3717,52.90
07100740000000,D,,Contra Costa County Office of Education,Contra Costa,629,313,498,501,490,143,45.69
07100740114470,S,Making Waves Academy,Contra Costa County Office of Education,Contra Costa,80,73,454,478,452,19,26.03
07100740731380,S,Clayton Valley Charter High,Contra Costa County Office of Education,Contra Costa,446,240,512,508,501,124,51.67
07616300000000,D,,Acalanes Union High,Contra Costa,1251,961,594,601,598,816,84.91
07616300107524,S,Acalanes Center for Independent Study,Acalanes Union High,Contra Costa,17,2,,,,,
07616300730283,S,Acalanes High,Acalanes Union High,Contra Costa,296,234,586,604,587,195,83.33
07616300731125,S,Campolindo High,Acalanes Union High,Contra Costa,301,260,603,617,616,237,91.15
07616300733725,S,Las Lomas High,Acalanes Union High,Contra Costa,373,247,565,554,560,181,73.28
07616300734244,S,Miramonte High,Acalanes Union High,Contra Costa,253,218,628,633,633,203,93.12
07616480000000,D,,Antioch Unified,Contra Costa,1681,469,480,474,469,174,37.10
07616480117218,S,Dozier-Libbey Medical High,Antioch Unified,Contra Costa,131,85,496,485,495,35,41.18
07616480730101,S,Live Oak High (Continuation),Antioch Unified,Contra Costa,109,1,,,,,
07616480730259,S,Prospects High (Alternative),Antioch Unified,Contra Costa,204,1,,,,,
07616480730465,S,Deer Valley High,Antioch Unified,Contra Costa,666,248,478,477,464,94,37.90
07616480730861,S,Antioch High,Antioch Unified,Contra Costa,410,134,477,465,463,45,33.58
07616630000000,D,,Byron Union Elementary,Contra Costa,46,0,NA,NA,NA,NA,NA
07616630130930,S,Vista Oaks Charter,Byron Union Elementary,Contra Costa,46,0,NA,NA,NA,NA,NA
07616970000000,D,,John Swett Unified,Contra Costa,119,31,477,512,485,14,45.16
